symbol,year_id,year_label,sort_order,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets,debt_to_equity,equity_ratio,book_value_per_share
ABB,3,Dec 2012,20123,21.0,626,0,260,907,109,1,0,798,907,0.0,0.7133406835722161,308.0952380952381
ABB,11,Mar 2014,20144,21.0,767,0,351,1139,98,1,0,1040,1139,0.0,0.6918349429323969,375.23809523809524
ABB,15,Mar 2015,20154,21.0,916,0,436,1374,96,4,0,1274,1374,0.0,0.6819505094614265,446.19047619047615
ABB,18,Mar 2016,20164,21.0,1174,0,421,1616,108,3,0,1505,1616,0.0,0.739480198019802,569.047619047619
ABB,21,Mar 2017,20174,21.0,1366,0,679,2066,110,6,0,1950,2066,0.0,0.6713455953533398,660.4761904761905
ABB,24,Mar 2018,20184,21.0,1672,0,723,2416,81,2,0,2333,2416,0.0,0.7007450331125827,806.1904761904761
ABB,27,Mar 2019,20194,21.0,1987,0,932,2941,105,1,0,2835,2941,0.0,0.6827609656579394,956.1904761904761
ABB,30,Mar 2020,20204,21.0,2410,175,940,3547,270,2,0,3275,3547,0.07198683669271905,0.6853679165491965,1157.6190476190475
ABB,33,Mar 2021,20214,21.0,2581,153,1086,3840,251,1,0,3589,3840,0.058800922367409685,0.6776041666666667,1239.047619047619
ABB,36,Mar 2022,20224,21.0,2799,152,1253,4224,271,1,0,3952,4224,0.05390070921985816,0.6676136363636364,1342.857142857143
ABB,39,Mar 2023,20234,21.0,3167,113,1254,4556,237,4,0,4315,4556,0.03544542032622334,0.6997366110623354,1518.095238095238
ABB,41,Mar 2024,20244,21.0,3678,83,1411,5193,225,10,0,4958,5193,0.022438496891051634,0.7123050259965338,1761.4285714285713
ABB,40,Sep 2024,20242,21.0,3500,60,1481,5063,216,13,0,4834,5063,0.017040613462084634,0.6954374876555401,1676.6666666666665
ADANIENSOL,11,Mar 2014,20144,0.1,0,0,0,0,0,0,0,0,0,0.0,,10.0
ADANIENSOL,15,Mar 2015,20154,1090.0,-7,9701,708,11492,10573,10,0,909,11492,8.95752539242844,0.09423947093630351,9.935779816513762
ADANIENSOL,18,Mar 2016,20164,1100.0,1572,8585,489,11746,10060,258,20,1407,11746,3.2129491017964074,0.2274816958964754,24.29090909090909
ADANIENSOL,21,Mar 2017,20174,1100.0,1847,8975,890,12811,9853,1343,105,1510,12811,3.045469969460468,0.23003668722191867,26.79090909090909
ADANIENSOL,24,Mar 2018,20184,1100.0,4957,10428,781,17265,9291,2353,0,5621,17265,1.7216443784051512,0.35082536924413554,55.06363636363636
ADANIENSOL,27,Mar 2019,20194,1100.0,6943,20137,4379,32558,24412,694,336,7117,32558,2.50366778565212,0.24703605872596596,73.11818181818182
ADANIENSOL,30,Mar 2020,20204,1100.0,7399,24246,6966,39711,24924,2212,313,12262,39711,2.8528062124955875,0.214021303920828,77.26363636363637
ADANIENSOL,33,Mar 2021,20214,1100.0,7819,27095,7219,43234,26987,5255,442,10550,43234,3.0378966251821953,0.20629597076375075,81.08181818181818
ADANIENSOL,36,Mar 2022,20224,1100.0,8813,29902,7650,47464,30272,5060,561,11572,47464,3.016443054574801,0.20885302545086804,90.11818181818182
ADANIENSOL,39,Mar 2023,20234,1115.0,10634,34270,7913,53932,32645,6200,1370,13716,53932,2.916843986722274,0.21784840169101832,105.37219730941705
ADANIENSOL,41,Mar 2024,20244,1115.0,11526,37070,8827,58538,38920,3003,766,15849,58538,2.93252116130053,0.21594519799104855,113.37219730941705
ADANIENSOL,40,Sep 2024,20242,1201.0,19784,39009,9113,69107,38186,4355,1608,24958,69107,1.8588992137240887,0.30365954244866655,174.729392173189
ADANIENT,7,Mar 2013,20134,110.0,21286,69332,21143,111871,48770,29248,323,33529,111871,3.240418769863526,0.19125600021453282,194.5090909090909
ADANIENT,11,Mar 2014,20144,110.0,23647,71980,22365,118102,70579,13574,288,33661,118102,3.0298438355011155,0.20115662732214526,215.97272727272727
ADANIENT,15,Mar 2015,20154,110.0,25618,83571,21420,130718,83834,6733,744,39407,130718,3.248250932835821,0.19682063679064857,233.8909090909091
ADANIENT,18,Mar 2016,20164,110.0,13268,19169,9132,41679,10473,7705,805,22696,41679,1.4328748691882194,0.32097699081072,121.61818181818182
ADANIENT,21,Mar 2017,20174,110.0,14026,20846,12630,47611,13668,7731,1042,25170,47611,1.4746745897000566,0.2969061771439373,128.5090909090909
ADANIENT,24,Mar 2018,20184,110.0,14979,17637,23679,56405,10555,5526,1461,38864,56405,1.1688647359003248,0.2675117454126407,137.1727272727273
ADANIENT,27,Mar 2019,20194,110.0,14646,11243,16537,42536,9020,5765,1511,26240,42536,0.7619273515857956,0.3469061500846342,134.14545454545456
ADANIENT,30,Mar 2020,20204,110.0,16837,12419,17509,46875,10476,7347,1952,27099,46875,0.7328140673865581,0.361536,154.06363636363636
ADANIENT,33,Mar 2021,20214,110.0,17049,16227,18231,51617,10838,8825,5503,26451,51617,0.9456844804475786,0.3324292384291997,155.9909090909091
ADANIENT,36,Mar 2022,20224,110.0,22147,41604,37726,101586,30123,23544,4292,43627,101586,1.8692546165251382,0.219095150906621,202.33636363636364
