symbol,computed_at,overall_score,profitability_score,growth_score,leverage_score,cashflow_score,dividend_score,trend_score,health_label
SIEMENS,2026-05-06T10:45:17.447672+00:00,55.36,32.16487108327151,50.0,50.0,50.0,100.0,50.0,AVERAGE
INDIGO,2026-05-06T10:45:17.447672+00:00,43.81,19.04254250493483,50.0,50.0,50.0,,50.0,AVERAGE
LT,2026-05-06T10:45:17.447672+00:00,43.08,15.41861249762135,50.0,50.0,50.0,,50.0,AVERAGE
MARUTI,2026-05-06T10:45:17.447672+00:00,44.86,24.296275923850615,50.0,50.0,50.0,,50.0,AVERAGE
LODHA,2026-05-06T10:45:17.447672+00:00,50.28,51.41620623427098,50.0,50.0,50.0,,50.0,AVERAGE
ADANIPORTS,2026-05-06T10:45:17.447672+00:00,59.95,99.73600467841123,50.0,50.0,50.0,,50.0,AVERAGE
ADANIENSOL,2026-05-06T10:45:17.447672+00:00,40.57,2.8588927351753792,50.0,50.0,50.0,,50.0,AVERAGE
ABB,2026-05-06T10:45:17.447672+00:00,51.93,59.65065256529948,50.0,50.0,50.0,,50.0,AVERAGE
M&M,2026-05-06T10:45:17.447672+00:00,44.41,22.030959837345613,50.0,50.0,50.0,,50.0,AVERAGE
LTIM,2026-05-06T10:45:17.447672+00:00,46.49,32.465379879221594,50.0,50.0,50.0,,50.0,AVERAGE
ZOMATO,2026-05-06T10:45:17.447672+00:00,41.2,5.9986404067040064,50.0,50.0,50.0,,50.0,AVERAGE
WIPRO,2026-05-06T10:45:17.447672+00:00,47.56,37.81727511929801,50.0,50.0,50.0,,50.0,AVERAGE
BAJFINANCE,2026-05-06T10:45:17.447672+00:00,54.09,70.46450905067127,50.0,50.0,50.0,,50.0,AVERAGE
BEL,2026-05-06T10:45:17.447672+00:00,51.85,59.23314768324921,50.0,50.0,50.0,,50.0,AVERAGE
TORNTPHARM,2026-05-06T10:45:17.447672+00:00,49.04,45.210147252039015,50.0,50.0,50.0,,50.0,AVERAGE
BHARTIARTL,2026-05-06T10:45:17.447672+00:00,44.39,21.936919387296495,50.0,50.0,50.0,,50.0,AVERAGE
ITC,2026-05-06T10:45:17.447672+00:00,55.94,79.70265167092285,50.0,50.0,50.0,,50.0,AVERAGE
NTPC,2026-05-06T10:45:17.447672+00:00,46.38,31.880656438746623,50.0,50.0,50.0,,50.0,AVERAGE
IRFC,2026-05-06T10:45:17.447672+00:00,53.84,69.20570270114756,50.0,50.0,50.0,,50.0,AVERAGE
BOSCHLTD,2026-05-06T10:45:17.447672+00:00,46.39,31.95136332054072,50.0,50.0,50.0,,50.0,AVERAGE
BHEL,2026-05-06T10:45:17.447672+00:00,40.0,0.0,50.0,50.0,50.0,,50.0,AVERAGE
TITAN,2026-05-06T10:45:17.447672+00:00,42.59,12.947890458744759,50.0,50.0,50.0,,50.0,AVERAGE
TECHM,2026-05-06T10:45:17.447672+00:00,43.35,16.746762527989343,50.0,50.0,50.0,,50.0,AVERAGE
NHPC,2026-05-06T10:45:17.447672+00:00,60.0,100.0,50.0,50.0,50.0,,50.0,GOOD
NESTLEIND,2026-05-06T10:45:17.447672+00:00,49.24,46.19072913221396,50.0,50.0,50.0,,50.0,AVERAGE
JIOFIN,2026-05-06T10:45:17.447672+00:00,60.0,100.0,50.0,50.0,50.0,,50.0,GOOD
JINDALSTEL,2026-05-06T10:45:17.447672+00:00,45.14,25.709093159579723,50.0,50.0,50.0,,50.0,AVERAGE
BANKBARODA,2026-05-06T10:45:17.447672+00:00,48.89,44.44761582989196,50.0,50.0,50.0,,50.0,AVERAGE
TRENT,2026-05-06T10:45:17.447672+00:00,46.32,31.60889582848293,50.0,50.0,50.0,,50.0,AVERAGE
IRCTC,2026-05-06T10:45:17.447672+00:00,55.46,77.29193782530231,50.0,50.0,50.0,,50.0,AVERAGE
